Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2013;1;Abadia dos Dourados;13;26;0;0,001865939;2;0;0,689;19907,27;6967;4300;1903;400;0;100;0;0;61,72
2013;2;Abre Campo;126;425;0;0,009195067;3,373015873;0;0,654;9938,96;13703;7929;1668;485,1;0;85;0;0;57,86
2013;3;Águas Vermelhas;100;285;0;0,007515407;2,85;0;0,601;10580,18;13306;4856;1365;101,97;101,5;27,31;99,54;27,19;36,49
2013;4;Aimorés;43;112;1;0,001674781;2,604651163;0,023255814;0,684;14985,86;25675;19821;6847;1311,05;786,63;84,11;60;50,46;77,2
2013;5;Aiuruoca;4;17;0;0,000637552;4,25;0;0,668;10771,41;6274;2600;1000;75;0;83,33;0;0;41,44
2013;6;Além Paraíba;38;120;0;0,001068646;3,157894737;0;0,726;19771,47;35559;29625;8288;1011,11;0;56,18;0;0;83,31
2013;7;Alfenas;16;123;0;0,000206138;7,6875;0;0,761;22672,17;77618;72780;27858;3413,12;3291,84;77,05;96,45;74,31;93,77
2013;8;Almenara;109;375;2;0,002674912;3,440366972;0,018348624;0,642;9098,35;40749;33366;11357;1156,6;993;72,43;85,86;62,18;81,88
2013;9;Alpinópolis;64;191;1;0,0033005;2,984375;0,015625;0,725;13345,98;19391;19391;5000;820;0;100;0;0;100
2013;11;Andradas;32;124;2;0,000811853;3,875;0,0625;0,734;17394,75;39416;33133;13893;3428;0;100;0;0;84,06
2013;12;Araçuaí;65;253;1;0,001748769;3,892307692;0,015384615;0,663;7629,69;37169;17995;5394;523,26;359,91;42,37;68,78;29,14;48,41
2013;13;Araguari;75;402;1;0,000652344;5,36;0,013333333;0,773;24558,92;114970;114970;36360;9450;160;80;1,69;1,35;100
2013;15;Araxá;49;189;2;0,000490069;3,857142857;0,040816327;0,772;42591,31;99986;98504;34023;4182,19;3287,41;77,09;78,6;60,59;98,52
2013;18;Ataléia;71;234;1;0,004949805;3,295774648;0,014084507;0,588;7364,77;14344;4265;1276;119,67;0;40,21;0;0;29,73
2013;19;Barão de Cocais;5;13;0;0,000163929;2,6;0;0,722;41443,78;30501;28520;9700;1351,2;0;92,71;0;0;93,51
2013;20;Barbacena;39;331;3;0,000293277;8,487179487;0,076923077;0,769;15764,49;132980;99019;27880;3407,35;322,06;54,85;9,45;5,18;74,46
2013;21;Barroso;27;87;0;0,001318102;3,222222222;0;0,734;22284,95;20484;15385;6561;884,04;68,59;94,73;7,76;7,35;75,11
2013;22;Belo Horizonte;1697;10962;18;0,000684505;6,459634649;0,010606953;0,81;33167,4;2479165;2479165;561095;120242,67;107399,7;75,45;89,32;67,39;100
2013;24;Berilo;62;178;1;0,004956828;2,870967742;0,016129032;0,628;6207,6;12508;4095;1170;123,28;94,72;62,57;76,83;48,08;32,74
2013;25;Betim;25;171;0;6,15045E-05;6,84;0;0,749;54140,46;406474;378713;93879;13099,66;11955,63;63,21;91,27;57,69;93,17
2013;27;Boa Esperança;29;102;0;0,000724674;3,517241379;0;0,704;15297,5;40018;33446;11515;1659,73;0;79,96;0;0;83,58
2013;28;Bocaiúva;22;62;0;0,000449218;2,818181818;0;0,7;13067,1;48974;37700;10603;1013,92;0;56,4;0;0;76,98
2013;29;Bom Despacho;16;59;0;0,00033092;3,6875;0;0,75;19169,38;48350;45530;16666;1845,56;0;73,57;0;0;94,17
2013;31;Borda da Mata;5;17;1;0,000273658;3,4;0,2;0,73;12364,26;18271;14642;4881;441,7;7,78;77,57;1,76;1,37;80,14
2013;32;Botelhos;29;140;1;0,001892209;4,827586207;0,034482759;0,702;10342,95;15326;10948;3454;344,42;0;57,49;0;0;71,43
2013;33;Brasília de Minas;12;62;2;0,000370622;5,166666667;0,166666667;0,656;7230,74;32378;19950;5767;537,3;0;66,77;0;0;61,62
2013;36;Bueno Brandão;30;120;0;0,002675943;4;0;0,658;9746,3;11211;5840;2231;208,42;150,39;75,75;72,16;54,66;52,09
2013;37;Buritis;50;170;0;0,002085158;3,4;0;0,672;22269,22;23979;6114;1899;176,85;0;24,05;0;0;25,5
2013;38;Cabo Verde;11;51;0;0,00077128;4,636363636;0;0,674;10276,63;14262;7869;2744;260,99;46,84;74,82;17,95;13,43;55,17
2013;39;Caeté;14;69;1;0,000325309;4,928571429;0,071428571;0,728;12319,35;43036;40261;10275;2776,96;296,05;92,68;10,66;9,88;93,55
2013;40;Camanducaia;30;65;2;0,001373375;2,166666667;0,066666667;0,689;19169,95;21844;16030;4922;580,84;0;54,84;0;0;73,38
2013;41;Cambuí;30;81;0;0,001066743;2,7;0;0,751;20895,89;28123;25077;8567;843;37,75;60,91;4,48;2,73;89,17
2013;42;Cambuquira;11;25;0;0,000846349;2,272727273;0;0,699;14476,63;12997;10500;3372;590;0;69,25;0;0;80,79
2013;43;Campanha;54;143;0;0,00333025;2,648148148;0;0,709;13812,83;16215;14001;4947;431,23;0;77,35;0;0;86,35
2013;45;Campina Verde;50;150;1;0,002505136;3;0,02;0,704;21569,13;19959;14907;6350;603,42;603,42;74,6;100;74,6;74,69
2013;46;Campo Belo;5;37;0;9,31862E-05;7,4;0;0,711;14589,68;53656;51900;17431;1769,6;0;74,37;0;0;96,73
2013;48;Campos Altos;19;51;0;0,001269714;2,684210526;0;0,702;14578,35;14964;14964;4150;1372,81;0;100;0;0;100
2013;49;Campos Gerais;30;79;0;0,001045916;2,633333333;0;0,682;10935,24;28683;19877;5649;635,97;0;64,67;0;0;69,3
2013;50;Candeias;7;34;0;0,000464622;4,857142857;0;0,678;12610,78;15066;11500;3381;432;0;76,7;0;0;76,33
2013;51;Capelinha;105;234;0;0,002857921;2,228571429;0;0,653;11292,62;36740;23503;7252;628,02;0;52,7;0;0;63,97
2013;53;Capinópolis;0;0;0;0;0;0;0,723;17642,42;15961;14544;4452;459;0;54,6;0;0;91,12
2013;55;Carangola;126;743;0;0,003777205;5,896825397;0;0,695;11171,22;33358;21318;6645;1403,42;192,79;82,56;13,74;11,34;63,91
2013;56;Caratinga;79;294;1;0,000881913;3,721518987;0,012658228;0,706;13221;89578;65285;17547;1994,62;0;59,69;0;0;72,88
2013;57;Carbonita;20;59;0;0,002112602;2,95;0;0,638;8190,22;9467;6269;2070;158,92;0;54,48;0;0;66,22
2013;58;Carlos Chagas;146;383;1;0,007222717;2,623287671;0,006849315;0,648;14570,29;20214;13058;3819;361,84;361,84;56,37;100;56,37;64,6
2013;59;Carmo da Cachoeira;3;9;0;0,000244918;3;0;0,655;12340,68;12249;9279;3099;283,72;0;72,27;0;0;75,75
2013;61;Carmo de Minas;9;14;0;0,000622794;1,555555556;0;0,682;9369,43;14451;10708;2818;331,18;0;80;0;0;74,1
2013;62;Carmo do Paranaíba;17;41;0;0,000553836;2,411764706;0;0,705;14876,63;30695;26014;9860;1002,87;0;80,66;0;0;84,75
2013;63;Carmo do Rio Claro;13;46;1;0,000613034;3,538461538;0,076923077;0,733;14162,69;21206;14910;5921;608,86;0;73,73;0;0;70,31
2013;64;Carmópolis de Minas;15;41;0;0,000823949;2,733333333;0;0,7;17018,45;18205;18205;3972;707;493;98;69,73;68,34;100
2013;68;Cataguases;114;335;3;0,001556697;2,938596491;0,026315789;0,751;17241,81;73232;62199;16250;2077,54;0;58,23;0;0;84,93
2013;69;Caxambu;3;19;1;0,000134789;6,333333333;0,333333333;0,743;12094,48;22257;21792;8317;800,46;800,46;77,05;100;77,05;97,91
2013;72;Cláudio;24;79;1;0,000878445;3,291666667;0,041666667;0,709;16206,04;27321;22426;7436;784,37;784,37;75,36;100;75,36;82,08
2013;73;Conceição das Alagoas;18;32;0;0,000716019;1,777777778;0;0,712;25111,08;25139;21859;6938;1350;0;89,05;0;0;86,95
2013;74;Conceição de Ipanema;66;143;0;0,014319809;2,166666667;0;0,676;7661,74;4609;3250;953;122;0;84,99;0;0;70,51
2013;75;Conceição do Mato Dentro;41;197;1;0,002243748;4,804878049;0,024390244;0,634;20935,03;18273;11857;3902;363,4;92,53;57,57;25,46;14,66;64,89
2013;77;Congonhas;17;66;0;0,000328763;3,882352941;0;0,753;66533,98;51709;42781;12545;1396,98;0;63,5;0;0;82,73
2013;79;Conselheiro Lafaiete;315;848;0;0,002555263;2,692063492;0;0,761;13925,52;123275;117724;36788;3993,39;1671,84;68,04;41,87;28,48;95,5
2013;80;Conselheiro Pena;35;80;0;0,001519625;2,285714286;0;0,662;10009,15;23032;18270;7051;861,35;0;80;0;0;79,32
2013;81;Contagem;65;348;0;0,000101887;5,353846154;0;0,756;38181,58;637961;629292;151160;23454,13;20408,81;68,29;87,02;59,42;98,64
2013;82;Coração de Jesus;6;31;0;0,00022314;5,166666667;0;0,642;7132,94;26889;6458;1920;147,95;146,91;29,81;99,3;29,6;24,02
2013;83;Coronel Fabriciano;35;165;5;0,00032317;4,714285714;0,142857143;0,755;12832,44;108302;106945;26874;3069,29;0;68,51;0;0;98,75
2013;84;Cristina;12;28;0;0,001144383;2,333333333;0;0,668;11787,24;10486;8080;1799;560;0;62,22;0;0;77,06
2013;85;Cruzília;18;66;0;0,001182111;3,666666667;0;0,695;10635,48;15227;13865;5121;426,9;0;74,02;0;0;91,06
