Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2011;2;Abre Campo;187;805;0;0,014050642;4,304812834;0;0,654;11098,08;13309;7280;1524;301;0;80,55;0;0;54,7
2011;3;Águas Vermelhas;160;472;1;0,012512708;2,95;0,00625;0,601;10088,12;12787;5464;1537;117,81;117,81;34,38;100;34,38;42,73
2011;4;Aimorés;43;130;0;0,001723585;3,023255814;0;0,684;11670,97;24948;19051;6566;1208,29;800,16;93,52;66,22;61,93;76,36
2011;7;Alfenas;20;208;0;0,000269186;10,4;0;0,761;20458;74298;69667;26403;3398,35;1842,45;77,13;54,22;41,82;93,77
2011;8;Almenara;97;325;1;0,002484886;3,350515464;0,010309278;0,642;7603,4;39036;31964;10361;1080,71;0,31;71,91;0,03;0,02;81,88
2011;11;Andradas;35;102;0;0,000930826;2,914285714;0;0,734;15657,8;37601;33100;13300;3200;0;100;0;0;88,03
2011;12;Araçuaí;72;279;3;0,001997947;3,875;0,041666667;0,663;5931,35;36037;14600;4469;442,57;107,73;38,97;24,34;9,49;40,51
2011;13;Araguari;136;376;3;0,001231862;2,764705882;0,022058824;0,773;20056,12;110402;110402;33167;9570;117;88,35;1,22;1,08;100
2011;15;Araxá;48;171;0;0,000506334;3,5625;0;0,772;30454,99;94799;93394;31096;4029,83;156,5;77,37;3,88;3;98,52
2011;16;Arcos;101;285;1;0,002737276;2,821782178;0,00990099;0,749;23301,21;36898;34240;14041;1321,61;1321,61;62,82;100;62,82;92,8
2011;18;Ataléia;131;446;2;0,009173669;3,404580153;0,015267176;0,588;5921,84;14280;4087;1215;110,45;1,27;38,64;1,15;0,44;28,62
2011;19;Barão de Cocais;9;46;2;0,000312175;5,111111111;0,222222222;0,722;36294,51;28830;28000;9100;1512;0;100;0;0;97,12
2011;20;Barbacena;36;202;0;0,000282979;5,611111111;0;0,769;13480,45;127218;92841;26431;3264,83;322,53;74,05;9,88;7,32;72,98
2011;21;Barroso;21;80;2;0,00106626;3,80952381;0;0,734;16004,06;19695;14234;6180;833,75;66,6;94,54;7,99;7,55;72,27
