Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2009;3;Águas Vermelhas;148;442;0;0,011126983;2,986486486;0;0,466;6728,53;13301;5078;1421;89,15;89,15;27,69;100;27,69;38,18
2009;4;Aimorés;94;261;1;0,003786506;2,776595745;0,010638298;0,593;10150,12;24825;13746;6314;1038;1038;81,16;100;81,16;55,37
2009;7;Alfenas;25;143;0;0,000332385;5,72;0;0,675;14535,54;75214;77568;24939;3174,33;0;78,05;0;0;100
2009;8;Almenara;95;333;5;0,002465547;3,505263158;0,052631579;0,529;5489,78;38531;30799;9178;1032,32;0;70,97;0;0;79,93
2009;9;Alpinópolis;43;165;3;0,002309469;3,837209302;0,069767442;0,633;11570,41;18619;14960;5386;845;0;100;0;0;80,35
2009;11;Andradas;37;119;0;0,001010018;3,216216216;0;0,644;11148,05;36633;36000;12661;1507;0;90,45;0;0;98,27
2009;12;Araçuaí;159;572;5;0,004252701;3,597484277;0,031446541;0,516;4564,11;37388;7022;1999;165,26;0;15,74;0;0;18,78
2009;13;Araguari;189;565;2;0,001701247;2,989417989;0,010582011;0,673;17239,3;111095;98633;32050;8658;24;93,35;0,28;0,26;88,78
2009;15;Araxá;63;278;3;0,000677952;4,412698413;0,047619048;0,683;21312,23;92927;96493;28944;3701,81;199,09;77,29;5,38;4,16;100
2009;16;Arcos;114;370;2;0,003127143;3,245614035;0,01754386;0,669;13223,92;36455;36455;13610;2387;1790;100;74,99;92,5;100
2009;18;Ataléia;134;320;4;0,008837884;2,388059701;0,029850746;0,46;5557,83;15162;3845;1134;105,27;0;40,77;0;0;25,36
2009;20;Barbacena;55;254;0;0,000427776;4,618181818;0;0,664;10386,55;128572;107874;24899;3215,57;332;81,5;10,32;8,41;83,9
2009;22;Belo Horizonte;2570;14203;23;0,00104786;5,526459144;0,008949416;0,726;18182,7;2452617;2456488;518143;113063,19;74309,71;75,19;65,72;49,42;100
2009;24;Berilo;78;273;0;0,005686375;3,5;0;0,497;4044,81;13717;3144;1041;64,51;53,68;55,26;83,21;45,99;22,92
2009;25;Betim;40;263;1;9,05494E-05;6,575;0,025;0,612;57009,27;441748;317476;80114;11405,3;1036,02;60,14;9,08;5,46;71,87
2009;27;Boa Esperança;40;105;0;0,001019004;2,625;0;0,617;10855,97;39254;35339;10097;1552;0;80,04;0;0;90,03
2009;28;Bocaiúva;66;197;3;0,00141558;2,984848485;0,045454545;0,577;7708,34;46624;34600;8895;1270;0;74,71;0;0;74,21
2009;29;Bom Despacho;15;70;1;0,000338868;4,666666667;0,066666667;0,665;11278,66;44265;46947;14266;1664,54;0;73,82;0;0;100
2009;30;Bom Sucesso;9;33;0;0,000505476;3,666666667;0;0,59;8739,52;17805;14264;4596;479;479;74,38;100;74,38;80,11
2009;31;Borda da Mata;10;30;0;0,00064487;3;0;0,615;7939,28;15507;13232;4308;408;29,55;78,4;7,24;5,68;85,33
2009;32;Botelhos;15;47;0;0,000981098;3,133333333;0;0,602;7687,63;15289;9909;2963;311,16;0;55,64;0;0;64,81
2009;33;Brasília de Minas;115;531;0;0,003545225;4,617391304;0;0,513;4511,59;32438;17617;4988;462,45;0;71,16;0;0;54,31
2009;36;Bueno Brandão;24;68;0;0,002140564;2,833333333;0;0,55;8520,36;11212;6460;2091;201,85;200,88;76,99;99,52;76,62;57,62
2009;40;Camanducaia;51;117;0;0,002529762;2,294117647;0;0,559;10801,48;20160;14072;4004;284,48;0;29,3;0;0;69,8
2009;43;Campanha;51;136;0;0,003197693;2,666666667;0;0,63;9148,62;15949;14366;4393;387,03;0;78,55;0;0;90,07
2009;45;Campina Verde;89;239;1;0,004635175;2,685393258;0,011235955;0,621;11299,12;19201;17496;5413;570,67;0;74,5;0;0;91,12
2009;51;Capelinha;84;274;1;0,002425362;3,261904762;0,011904762;0,49;5957,47;34634;18311;5468;505,01;0;53,46;0;0;52,87
2009;53;Capinópolis;24;75;2;0,00149598;3,125;0,083333333;0,629;13575,31;16043;14831;6311;345;0;42,79;0;0;92,45
2009;56;Caratinga;82;344;2;0,000959379;4,195121951;0,024390244;0,606;8006,74;85472;51590;13832;1768,57;0;56,72;0;0;60,36
2009;57;Carbonita;25;68;0;0,002318464;2,72;0;0,482;5832,88;10783;5454;1763;136,7;0;54,84;0;0;50,58
2009;58;Carlos Chagas;133;325;0;0,006270036;2,443609023;0;0,524;9227,01;21212;11967;3442;338,26;338,26;56,34;100;56,34;56,42
2009;61;Carmo de Minas;35;129;0;0,002431062;3,685714286;0;0,558;7923,83;14397;9514;2724;474;0;69,71;0;0;66,08
2009;63;Carmo do Rio Claro;41;127;0;0,00204285;3,097560976;0;0,628;10110,4;20070;16276;5222;554,59;0;72,72;0;0;81,1
2009;64;Carmópolis de Minas;15;46;0;0,00090231;3,066666667;0;0,565;10075,42;16624;11618;3361;526;368;80,06;69,96;56,01;69,89
2009;69;Caxambu;30;90;0;0,001399841;3;0;0,649;6985,26;21431;24762;7690;744,26;744,26;77,54;100;77,54;100
2009;72;Cláudio;76;240;1;0,002930064;3,157894737;0,013157895;0,597;10042,96;25938;20334;6334;710,54;0;75,68;0;0;78,39
2009;73;Conceição das Alagoas;7;19;1;0,000319081;2,714285714;0,142857143;0,603;22507,8;21938;20563;5996;972;0;81,89;0;0;93,73
2009;74;Conceição de Ipanema;56;140;0;0,012310398;2,5;0;0,536;5546,3;4549;2675;450;83;0;84,69;0;0;58,8
2009;75;Conceição do Mato Dentro;51;177;0;0,0027517;3,470588235;0;0,43;5999,93;18534;8705;2870;249,36;0;60,72;0;0;46,97
2009;77;Congonhas;28;78;0;0,000574677;2,785714286;0;0,637;18056,35;48723;38093;10902;1234,6;0;66,02;0;0;78,18
2009;79;Conselheiro Lafaiete;307;1066;4;0,002679374;3,472312704;0,013029316;0,666;7825,74;114579;107515;31116;3433,66;478,04;67,19;13,92;9,35;93,83
2009;81;Contagem;113;457;1;0,000180686;4,044247788;0,008849558;0,651;24641,23;625393;558999;134042;20365,55;13505,25;68,57;66,31;45,47;89,38
2009;82;Coração de Jesus;47;231;0;0,001733678;4,914893617;0;0,517;5089,39;27110;5078;1456;102,17;102,17;24,47;100;24,47;18,73
