Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
2011;26;Campo do Meio;0,001457726;3,4;0;0,87195122;0,683;11480;9772,53;0,004907346;0
2012;26;Campo do Meio;0,001668722;3,913043478;0;0,871723417;0,683;11483;8890,11;0,004591837;0,845859096
2013;26;Campo do Meio;0,001471825;3,333333333;0;0,860451357;0,683;11831;8591,93;0,035188275;0,820978785
2014;26;Campo do Meio;0,000418352;2,333333333;0;0,861195542;0,683;11844;9735,05;0,005186431;0,83755488
2010;27;Capelinha;0,001090456;3,452380952;0;0,592190328;0,653;34803;7359,35;-0,018800632;0,924948999
2011;27;Capelinha;0,001113211;2,651162791;0;0,624650898;0,653;35090;9570,89;0,002881919;0,920034198
2012;27;Capelinha;0,001213404;2,638297872;0;0,645216014;0,653;35368;10678,7;0,002770083;0,915318932
2013;27;Capelinha;0,000724674;3,517241379;0;0,639711486;0,653;36740;11292,62;0,033149171;0,91034295
2014;27;Capelinha;0,000796912;3,09375;0,03125;0,670257282;0,653;37041;13729,68;0,003423459;0,906050053
2008;30;Caratinga;0,000957746;3,058823529;0;0,587338638;0,606;84825;7218,34;0,032336862;0,160165046
2009;30;Caratinga;0,000505476;3,666666667;0;0,60358948;0,606;85472;8006,74;0,003098592;0,166885062
2010;30;Caratinga;0,000695935;2,5;0;0,637196588;0,706;85239;10069,21;-0,031564167;0,168408827
2011;30;Caratinga;0,001216897;3,333333333;0,095238095;0,66023004;0,706;85811;12426,38;0,000811924;0
2012;30;Caratinga;0,000752707;2,461538462;0;0,684127646;0,706;86364;12408,89;0,000811265;0,175790839
2013;30;Caratinga;0,000393148;2,857142857;0;0,72880618;0,706;89578;13221;0,030918881;0
2014;30;Caratinga;0,00056079;2,6;0;0,746208089;0,706;90192;14666,61;0,001516428;0
2008;32;Carlos Chagas;0,001046846;3,5;0;0,533330204;0,524;21302;8623,83;0,029017707;0,462820392
2009;32;Carlos Chagas;0,000981098;3,133333333;0;0,564161795;0,524;21212;9227,01;0,000327139;0,467141241
2010;32;Carlos Chagas;0,000603217;3,666666667;0;0,61537695;0,648;20069;12651,79;-0,024134999;0,504459614
2011;32;Carlos Chagas;0,001006239;2,733333333;0;0,64596928;0,648;19922;14597,83;-0,000871314;0,51907439
2012;32;Carlos Chagas;0,001745787;4,346153846;0;0,645988169;0,648;19779;14049,01;-0,000939156;0,541331715
2013;32;Carlos Chagas;0,001892209;4,827586207;0,034482759;0,645987929;0,648;20214;14570,29;0,029074062;0,541604828
2014;32;Carlos Chagas;0,00137031;3,380952381;0;0,645993031;0,648;20090;16131,76;-6,52486E-05;0,551966152
2008;34;Carmo de Minas;0,00108057;3,5;0;0,533857825;0,558;14236;7183,6;0,024564074;0
2009;34;Carmo de Minas;0,000338845;2,6;0;0,660832118;0,558;14397;7923,83;-0,003444317;0
2014;34;Carmo de Minas;6,68583E-05;4;0;0,741030928;0,682;14550;11548,03;-0,001668669;0,687285223
2008;36;Carmópolis de Minas;0,007860652;2,590909091;0,022727273;0,697716895;0,565;16425;9051,96;0,030467599;0,389589041
2009;36;Carmópolis de Minas;0,002140564;2,833333333;0;0,698869105;0,565;16624;10075,42;0,001518535;0,388594803
2010;36;Carmópolis de Minas;0,000734484;3,25;0;0,717034256;0,7;17048;11854,98;-0,028540849;0,332824965
2011;36;Carmópolis de Minas;0,001193865;3,230769231;0;0,736787204;0,7;17256;13693,77;-0,000275432;0,328697265
2012;36;Carmópolis de Minas;0,003582583;3,461538462;0;0,737053162;0,7;17456;14979,35;-0,000275507;0,324873969
2013;36;Carmópolis de Minas;0,002675943;4;0;1;0,7;18205;17018,45;0,029854859;0,320790991
2014;36;Carmópolis de Minas;0,003476865;3,025641026;0;1;0,7;18416;18798,37;0,000535189;0,317278454
2008;37;Carvalhos;0,006505159;3,765517241;0,013793103;0,480692129;0,507;4739;5253,74;0,038096125;0
2009;37;Carvalhos;0,002448253;3,818181818;0;0,510031679;0,507;4735;5653,87;0,007851054;0
2010;37;Carvalhos;0,002023134;4,065217391;0,02173913;0,534899034;0,646;4556;5882,91;0,012107723;0,663740123
2008;38;Caxambu;0,00078437;4,636363636;0;1,131588733;0,649;21514;6636,03;0,030116057;0
2009;38;Caxambu;0,000712149;4,1;0;1,155429051;0,649;21431;6985,26;0,001283514;0
2010;38;Caxambu;0,001157491;4;0;0,979129233;0,743;21705;9148,43;-0,015596069;0
2011;38;Caxambu;0,000361507;8;0,2;0,979144558;0,743;21673;9673,22;0,000578746;0,352097079
2012;38;Caxambu;0,000939442;4,923076923;0;0,979113719;0,743;21641;11538,15;0,000506109;0,352802551
2013;38;Caxambu;0,00077128;4,636363636;0;0,979107696;0,743;22257;12094,48;0,030640266;0,353551692
2014;38;Caxambu;0,00070028;4,3;0;0,979140442;0,743;22244;12686,74;0,001262095;0,354207876
2009;39;Cláudio;0,000389835;3,5625;0;0,783946334;0,597;25938;10042,96;0,010065462;0
2008;40;Conceição do Mato Dentro;0,005293885;2,448598131;0;0,477583791;0,43;18558;5796,4;0,025573371;0
2009;40;Conceição do Mato Dentro;0,002529762;2,294117647;0;0,46967735;0,43;18534;5999,93;-0,002572729;0,759253264
2010;40;Conceição do Mato Dentro;0,0028463;2,266666667;0;0,4860956;0,634;17908;8702,39;0,045634921;0,827395577
2011;40;Conceição do Mato Dentro;0,00165704;2,257142857;0,028571429;0,529546855;0,634;17853;9424,04;0,00199241;0,866969137
2012;40;Conceição do Mato Dentro;0,001134108;2,083333333;0;0,5751208;0,634;17798;17488,1;0,00189376;0,872513766
2013;40;Conceição do Mato Dentro;0,001373375;2,166666667;0,066666667;0,648880862;0,634;18273;20935,03;0,032227578;0,877250588
2014;40;Conceição do Mato Dentro;0,002100361;3,065217391;0;0,68511105;0,634;18235;19265,11;0,002609412;0,881327118
2008;41;Congonhas;0,001534331;2,975;0;0,776245163;0,637;48066;17714,67;0,042383047;0,486518537
2009;41;Congonhas;0,001099943;3,655172414;0;0,781827884;0,637;48723;18056,35;0,011315689;0,482318412
2010;41;Congonhas;0,001434612;2,578947368;0;0,799810384;0,753;48519;39601,93;0,004665276;0,460829778
2011;41;Congonhas;0,001943271;2,711538462;0;0,814332579;0,753;49077;56139,33;0,010231048;0,458463231
2012;41;Congonhas;0,000629164;3,411764706;0;0,836262496;0,753;49616;62823,77;0,009753728;0,492300871
2013;41;Congonhas;0,001066743;2,7;0;0,827341469;0,753;51709;66533,98;0,040821614;0,484963933
2014;41;Congonhas;0,001760439;2,84;0,04;0,848986228;0,753;52280;68635,77;0,009920705;0,476281561
2008;42;Conselheiro Lafaiete;0,000774653;7,2;0;0,901951116;0,666;113576;7507,81;0,031070288;0
2009;42;Conselheiro Lafaiete;0,000773036;3,8;0;0,938348214;0,666;114579;7825,74;0,002091564;0
2010;42;Conselheiro Lafaiete;0,001428345;4,222222222;0,055555556;0,954974595;0,761;116512;9696,81;-0,025819419;0,089750412
2011;42;Conselheiro Lafaiete;0,00079321;2,9;0,1;0,954976948;0,761;117562;10860,07;0,000396762;0,08894881
2012;42;Conselheiro Lafaiete;0,000396448;2,6;0;0,954974785;0,761;118578;12827,32;0,000396605;0,088549309
2013;42;Conselheiro Lafaiete;0,000846349;2,272727273;0;0,954970594;0,761;123275;13925,52;0,030526483;0,085175421
2014;42;Conselheiro Lafaiete;0,001613895;3,666666667;0,095238095;0,954973064;0,761;124370;14455,86;0,001154112;0,08451395
2008;43;Contagem;0,002659911;2,333333333;0,023809524;0,788664976;0,651;617749;24070,88;0,040938757;0,022630551
2009;43;Contagem;0,003197693;2,666666667;0;0,893836356;0,651;625393;24641,23;0,010069664;0,022971156
2010;43;Contagem;0,003693384;2,561403509;0,01754386;0,954182838;0,756;603442;31743,14;-0,032353126;0,022083315
2011;43;Contagem;0,005149331;3,1125;0;0,974935725;0,756;608715;33219,02;0,00667401;0,022038228
2012;43;Contagem;0,003197953;2,38;0;0,982590846;0,756;613815;36780,63;0,006372297;0,021993597
2013;43;Contagem;0,00333025;2,648148148;0;0,986411395;0,756;637961;38181,58;0,037096258;0,021946483
2014;43;Contagem;0,002266462;2,567567568;0,027027027;0,996616812;0,756;643476;40833,12;0,006783842;0,021906023
2008;44;Coração de Jesus;0,000191911;2,25;0;0,127282154;0,517;27003;4369,6;0,029233124;0
