Id;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
82;0,001292402;4,618922711;0,023753289;0,749211202;0,663857143;46010;16456,13857;0,004581122;0,135840735
83;0,000674243;3,540382156;0,030228913;0,967729577;0,756571429;529464,7143;19838,01143;0,011153911;0,194748121
84;0,0011352;3,248120301;0,026315789;0,449003732;0,535;4100;6884,28;0,023704665;0
85;0,00086278;3,441558442;0,015873016;0,967940868;0,700857143;47375;18535,81429;0,006528416;0,191890896
87;0,003619088;4,357267439;0;0,395824501;0,622142857;19264,28571;10228,84286;0,0009336;0,031653553
88;0,003305435;2,876168025;0;0,612342573;0,687;19769,85714;10542,90571;0,008910557;0,177938225
89;0,000520721;4,394969195;0,04235963;0,961805654;0,752285714;94419,28571;17239,09;0,009602777;0,406018282
90;0,000602581;3,198979592;0;0,705620783;0,674;16428,85714;9323,727143;-0,02295484;0,160184769
91;0,002180841;3,990060745;0;0,958515679;0,690714286;39625,85714;17426,60714;0,005466949;0,19213025
92;0,000379788;4,765432099;0;0,502787495;0,482;18296;4378,54;0,015986967;0
93;0,012553414;3,084283364;0;0,874450387;0,666428571;81229,28571;17099,08714;0,035697131;0,015687763
94;0,004273427;3,324472916;0,045055598;0,794815287;0,661;21581,28571;13206,88286;0,001994293;0,095870883
95;0,001562388;2,617001874;0,012617013;0,733023456;0,645;27501,57143;8968,654286;0,00041064;0,485064777
96;0,000761608;3,290568783;0,014880952;0,629300149;0,707142857;55559,71429;76895,49143;0,016260977;0,377515139
97;0,010458866;3,413264522;0,018263925;0,485385835;0,645;12813,85714;14512,33143;0,011580484;0,405863134
98;0,000164121;4,395615638;0,00621118;0,744986956;0,707;35044,14286;21425,42714;0,02586701;0,272566462
99;0,002142589;3,775525631;0,013497793;0,716590694;0,582;21176,14286;6694,774286;0,022322712;0
100;0,001378334;3,738599565;0,010989011;0,854529967;0,692285714;46414,57143;18867,83429;0,013833363;0,067000462
101;0,006639749;3,169557785;0,001310616;0,96711717;0,738857143;370839,1429;14784,31143;0,01113755;0,013496149
102;0,002099046;2,48275013;0,004950005;0,944554251;0,705714286;102191,5714;13188,74286;0,038549678;0,245666283
103;0,001149819;4,00974026;0;0,831821772;0,671;41252,85714;11439,31286;0,008676542;0,066719566
105;0,000922899;3,837107821;0,026794941;0,163088683;0,776142857;82139,85714;74231,37143;0,00741185;0,130594395
106;0,001021933;2,70866589;0,01902562;0,921715803;0,686142857;76329,71429;15304,82143;0,01476362;0,626710818
107;0,003841204;3,767885806;0,002421308;0,237923453;0,529857143;31185,14286;4507,182857;0,00584535;0,168301671
109;0,004686501;5,11194654;0,013236464;0,891215742;0,741714286;36113;69609,66857;0,01095179;0,091507372
110;0,001733232;4,021624208;0,044306575;0,923557883;0,702;32349,14286;13373,57;0,018591885;0,780747132
111;0,000247959;6,678571429;0,023809524;0,692237648;0,712142857;71078,71429;64895,41714;0,01292229;0,150179766
112;0,00660959;4,480209152;0,007863987;0,856979871;0,706571429;86079;24015,78143;0,001716276;0,033160925
113;0,001303115;3,23554884;0,051313027;0,938158485;0,701571429;86067;20321,71714;0,009060725;0,140108724
114;0,001069137;3,134798535;0;0,868572603;0,692142857;20601,28571;14102,88429;-0,005902868;0,257415049
115;0,001482582;2,889980446;0;0,826982167;0,700428571;19588,28571;15842,66857;0,003668267;0,191329006
116;0,000303438;2,714285714;0;0,836078456;0,641;15907;8750,87;0,007423905;0
117;0,000391325;2,658333333;0;0,938824738;0,727142857;108477,8571;14668,53714;0,025750294;0,050781919
119;0,000878526;3,204435661;0;0,496989473;0,645285714;11483,85714;8392,392857;0,010979927;0,577983869
120;0,006772953;2,67998976;0;0,70055113;0,732142857;59967,14286;21072,87143;0,00346882;0,129350234
123;0,004968537;1,938870933;0;0,875238479;0,714142857;32657,42857;16786,73286;0,002778057;0,082489689
124;0,000567148;2,350310559;0;0,975932632;0,761;155154,7143;28211,98714;0,012222918;0,035452717
