Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2008;3;Águas Vermelhas;154;436;1;0,011685257;2,831168831;0,006493506;0,466;3705,94;13179;2235;654;49,79;49,79;15,72;100;15,72;16,96
2008;4;Aimorés;90;239;0;0,003618672;2,655555556;0;0,593;8887,23;24871;14292;5860;923,1;923,1;60,82;100;60,82;57,46
2008;7;Alfenas;83;729;3;0,001114019;8,78313253;0,036144578;0,675;13435,55;74505;76195;24371;3099,55;0;77,83;0;0;100
2008;8;Almenara;130;397;1;0,003397005;3,053846154;0,007692308;0,529;4975,58;38269;30173;8907;992,09;0;69,62;0;0;78,84
2008;12;Araçuaí;230;976;3;0,006172508;4,243478261;0,013043478;0,516;4285,99;37262;2675;718;23,64;0;2,26;0;0;7,18
2008;13;Araguari;210;606;0;0,001903312;2,885714286;0;0,673;16723,68;110334;99845;31350;7610;20;80;0,26;0,21;90,49
2008;15;Araxá;94;320;1;0,001025048;3,404255319;0,010638298;0,683;25803,3;91703;93655;24127;3581,78;179,86;76,78;5,02;3,86;100
2008;18;Ataléia;127;314;0;0,008288735;2,472440945;0;0,46;5351,24;15322;3717;1089;102,18;0;38,22;0;0;24,26
2008;20;Barbacena;76;389;2;0,000596884;5,118421053;0,026315789;0,664;10712,31;127328;106239;23071;2689,86;325,78;69,75;12,11;8,45;83,44
2008;22;Belo Horizonte;3230;17231;26;0,001326684;5,334674923;0,008049536;0,726;17313,06;2434642;2376993;497057;110651;88016,82;73,31;79,54;58,31;97,63
2008;24;Berilo;53;189;0;0,003880225;3,566037736;0;0,497;3818,48;13659;3095;1020;77,26;77,26;48,41;100;48,41;22,66
2008;25;Betim;50;340;1;0,000116413;6,8;0,02;0,612;58938,14;429507;286108;71993;10635,65;933,53;56,46;8,78;4,96;66,61
2008;27;Boa Esperança;47;155;0;0,0012026;3,29787234;0;0,617;10676,59;39082;34474;9734;1409,69;0;80,28;0;0;88,21
2008;28;Bocaiúva;43;158;0;0,000928605;3,674418605;0;0,577;7527,64;46306;34352;8769;1265;0;74,41;0;0;74,18
2008;29;Bom Despacho;50;193;0;0,001139004;3,86;0;0,665;11756,36;43898;45198;13753;1631,32;0;72,92;0;0;100
2008;30;Bom Sucesso;17;52;0;0,000957746;3,058823529;0;0,59;8587,69;17750;13586;4581;427,98;427,98;73,93;100;73,93;76,54
2008;31;Borda da Mata;22;67;0;0,001426719;3,045454545;0;0,615;7466,33;15420;13068;4260;399,66;26,44;77,21;6,62;5,11;84,75
2008;32;Botelhos;16;56;0;0,001046846;3,5;0;0,602;9294,95;15284;9859;3012;54,9;0;9,65;0;0;64,51
2008;33;Brasília de Minas;128;768;1;0,003967516;6;0,0078125;0,513;4011,3;32262;18232;5031;445,61;0;68,01;0;0;56,51
2008;36;Bueno Brandão;88;228;2;0,007860652;2,590909091;0,022727273;0,55;6269,92;11195;6399;2068;199,31;199,31;74,97;100;74,97;57,16
