Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2014;1;Abadia dos Dourados;6;8;0;0,000858124;1,333333333;0;0,689;27399,24;6992;4300;1903;400;0;100;0;0;61,5
2014;2;Abre Campo;182;737;0;0,013274014;4,049450549;0;0,654;11331,93;13711;7929;1734;506,1;0;85,12;0;0;57,83
2014;3;Águas Vermelhas;256;771;0;0,019135895;3,01171875;0;0,601;11647,07;13378;5241;1472;111,59;111,59;29,09;100;29,09;39,18
2014;4;Aimorés;118;302;2;0,004594121;2,559322034;0,016949153;0,684;14084,98;25685;19821;6961;1402,27;841,36;80;60;48;77,17
2014;5;Aiuruoca;7;17;1;0,001118747;2,428571429;0,142857143;0,668;11195,68;6257;2000;1200;75;0;83,33;0;0;31,96
2014;6;Além Paraíba;93;230;1;0,002609354;2,47311828;0,010752688;0,726;20767,04;35641;29728;8410;1082,21;0;59,6;0;0;83,41
2014;7;Alfenas;29;187;4;0,000370958;6,448275862;0,137931034;0,761;25103,11;78176;73304;28839;3377,89;3356,64;77,24;99,37;76,75;93,77
2014;8;Almenara;113;367;1;0,002754217;3,247787611;0,008849558;0,642;10240,99;41028;33595;12110;1172,91;1092,32;72,2;93,13;67,24;81,88
2014;9;Alpinópolis;52;180;2;0,00266489;3,461538462;0,038461538;0,725;14806,49;19513;19500;5200;825;10;100;1,21;1,26;99,93
2014;11;Andradas;42;148;0;0,001056311;3,523809524;0;0,734;18295,45;39761;33795;14170;3450;0;100;0;0;85
2014;12;Araçuaí;80;285;3;0,002149382;3,5625;0,0375;0,663;9171,63;37220;19480;5852;553,66;364;44,23;65,74;29,08;52,34
2014;13;Araguari;84;328;1;0,000726443;3,904761905;0,011904762;0,773;29606,03;115632;115632;36388;11402;175;80;1,53;1,23;100
2014;15;Araxá;52;205;1;0,000514159;3,942307692;0,019230769;0,772;47115,64;101136;99637;35807;4203,52;4203,52;76,82;100;76,82;98,52
2014;16;Arcos;86;208;0;0,002208186;2,418604651;0;0,749;33758,45;38946;34333;13634;2552;1997;100;78,25;93,31;88,16
2014;18;Ataléia;98;290;0;0,006907246;2,959183673;0;0,588;9148,8;14188;4365;1309;119,78;0;36,47;0;0;30,77
2014;19;Barão de Cocais;5;22;0;0,000161849;4,4;0;0,722;31258,16;30893;28660;9750;1358,02;0;92,01;0;0;92,77
2014;20;Barbacena;32;227;2;0,000238856;7,09375;0,0625;0,769;17014,04;133972;101461;28680;3974,46;875,48;62,75;22,03;13,82;75,73
2014;21;Barroso;13;63;0;0,000631374;4,846153846;0;0,734;17768,89;20590;17385;6900;998,92;68,59;100;6,87;7,26;84,43
