"Ano","Id","Município","N. Internação","Dias de Permanência","N. Óbitos","Prop Inter / Total Pop","Prop Dias Perm / Internações","Prop de Óbitos / Inter","IDHM","PIB per Capita série revisada","POP_TOT - População total do município do ano de referência (Fonte: IBGE):","ES001 - População total atendida com esgotamento sanitário","ES002 - Quantidade de ligações ativas de esgotos","ES005 - Volume de esgotos coletado","ES006 - Volume de esgotos tratado","IN015_AE - Índice de coleta de esgoto","IN016_AE - Índice de tratamento de esgoto","IN046_AE - Índice de esgoto tratado referido à água consumida","IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água"
"2010",258,"São Francisco",33,178,0,6.130638329493944E-4,5.393939393939394,0.0,0.638,4624.7,53828,25633,6292,665.82,665.82,51.6,100.0,51.6,47.62
"2011",258,"São Francisco",21,63,0,3.8883848390023517E-4,3.0,0.0,0.638,5097.39,54007,26019,6403,656.37,656.37,51.29,100.0,51.29,48.18
"2012",258,"São Francisco",32,119,1,5.906238464377999E-4,3.71875,0.03125,0.638,5792.35,54180,9740,2437,274.0,274.0,19.58,100.0,19.58,17.98
"2013",258,"São Francisco",32,132,2,5.713979608235273E-4,4.125,0.0625,0.638,6461.8,56003,15511,3838,338.57,328.54,23.16,97.04,22.47,27.7
"2014",258,"São Francisco",38,138,1,6.75952114129178E-4,3.6315789473684212,0.02631578947368421,0.638,7012.45,56217,20723,5090,486.26,479.11,33.01,98.53,32.52,36.86
"2008",259,"São Gotardo",9,33,0,2.799813345776948E-4,3.6666666666666665,0.0,0.627,10711.22,32145,24847,0,165.59,0.0,11.9,0.0,0.0,77.3
"2009",259,"São Gotardo",11,24,0,3.376304481276857E-4,2.1818181818181817,0.0,0.627,11449.34,32580,26420,8444,936.1,0.0,69.9,0.0,0.0,81.09
"2010",259,"São Gotardo",37,94,0,0.0011628272415852164,2.5405405405405403,0.0,0.736,10865.98,31819,27329,8946,1003.87,0.0,70.04,0.0,0.0,85.89
"2011",259,"São Gotardo",21,91,1,6.533710836626116E-4,4.333333333333333,0.047619047619047616,0.736,12137.52,32141,28975,9508,1058.83,0.31,69.79,0.03,0.02,90.15
"2012",259,"São Gotardo",34,98,0,0.0010477012202637743,2.8823529411764706,0.0,0.736,14056.54,32452,29798,9829,1099.84,0.05,69.41,0.0,0.0,91.82
