Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2010;229;Porteirinha;204;525;0;0,005421639;2,573529412;0;0,651;4543,28;37627;11630;3520;330,18;330,18;32,87;100;32,87;30,91
2010;231;Pouso Alegre;63;481;3;0,000482334;7,634920635;0,047619048;0,774;23915,64;130615;119590;38736;4962,37;22,6;77,57;0,46;0,35;91,56
2010;233;Prata;167;393;1;0,006472366;2,353293413;0,005988024;0,695;20971,65;25802;19000;7521;1308;0;100;0;0;73,64
2010;236;Raul Soares;54;133;1;0,002267193;2,462962963;0,018518519;0,655;6383,21;23818;12738;4306;615;0;79,87;0;0;53,48
2010;237;Recreio;21;87;0;0,002039033;4,142857143;0;0,692;5435,65;10299;8209;2383;514,08;0;81,47;0;0;79,71
2010;239;Ribeirão das Neves;24;105;0;8,09943E-05;4,375;0;0,684;5849,66;296317;218071;53542;6058,41;524,83;55,71;8,66;4,83;73,59
2010;240;Rio Casca;13;28;1;0,000915428;2,153846154;0,076923077;0,65;9441,14;14201;10397;2896;321,49;0;63,77;0;0;73,21
2010;241;Rio Pardo de Minas;157;472;1;0,005395374;3,006369427;0,006369427;0,624;4922,86;29099;9067;2584;220,47;220,47;51,09;100;51,09;31,16
2010;242;Rio Piracicaba;75;305;1;0,005300728;4,066666667;0,013333333;0,685;30534,32;14149;1216;304;37,98;0;6,27;0;0;8,59
2010;243;Sabará;18;134;0;0,000142553;7,444444444;0;0,731;10749,43;126269;101015;36479;3938,55;0;68,67;0;0;80
2010;244;Sabinópolis;239;940;6;0,015219052;3,933054393;0,025104603;0,638;6108,59;15704;8108;2007;405;0;84,43;0;0;51,63
2010;245;Sacramento;41;106;0;0,001715768;2,585365854;0;0,732;23783,65;23896;19730;7239;1031;1031;79,83;100;79,83;82,57
2010;246;Salinas;62;174;1;0,001582521;2,806451613;0,016129032;0,679;7638;39178;25514;7682;750,15;0;53,25;0;0;65,12
2010;249;Santa Luzia;43;218;1;0,000211883;5,069767442;0,023255814;0,715;10979,47;202942;182405;40698;5323,92;1438,56;63,39;27,02;17,13;89,88
2010;253;Santa Rita do Sapucaí;24;59;0;0,000635694;2,458333333;0;0,721;24778,57;37754;32458;10573;1313,39;0;75,24;0;0;85,97
2010;254;Santa Vitória;50;117;0;0,002756644;2,34;0;0,71;17356,9;18138;14926;8950;323;0;38,78;0;0;82,29
2010;255;Santo Antônio do Monte;57;155;2;0,002194418;2,719298246;0,035087719;0,724;10054,24;25975;22193;7586;927,04;0;75,28;0;0;85,44
2010;256;Santos Dumont;44;155;1;0,000950652;3,522727273;0,022727273;0,741;11136,2;46284;31606;9121;986,34;0;56,66;0;0;68,29
2010;257;São Domingos do Prata;21;69;0;0,001209887;3,285714286;0;0,69;7015,41;17357;17328;3390;585,37;0;100;0;0;99,83
2010;258;São Francisco;33;178;0;0,000613064;5,393939394;0;0,638;4624,7;53828;25633;6292;665,82;665,82;51,6;100;51,6;47,62
2010;259;São Gotardo;37;94;0;0,001162827;2,540540541;0;0,736;10865,98;31819;27329;8946;1003,87;0;70,04;0;0;85,89
2010;261;São João del Rei;128;390;5;0,001515349;3,046875;0,0390625;0,758;12146,86;84469;7953;2807;252,13;252,13;66,72;100;66,72;9,42
2010;262;São João do Paraíso;66;227;1;0,002957122;3,439393939;0,015151515;0,615;4934,11;22319;7628;2400;181,35;181,35;45,03;100;45,03;34,18
2010;263;São Lourenço;73;248;1;0,001752407;3,397260274;0,01369863;0,759;12455,69;41657;41657;13124;2464;0;84,99;0;0;100
2010;267;São Tiago;13;57;0;0,001230944;4,384615385;0;0,662;6926,53;10561;7260;2560;219,21;219,21;61,03;100;61,03;68,74
2010;268;São Vicente de Minas;5;13;0;0,00071347;2,6;0;0,715;9587,39;7008;5584;2150;650;0;100;0;0;79,68
2010;269;Serro;43;154;0;0,002063835;3,581395349;0;0,656;5792,98;20835;8169;2444;223,54;168,56;50,87;75,4;38,36;39,21
2010;272;Taiobeiras;118;363;1;0,00381667;3,076271186;0,008474576;0,67;6567,72;30917;4271;1324;52,76;52,76;5,79;100;5,79;13,81
2010;273;Teófilo Otoni;73;526;3;0,000541764;7,205479452;0,04109589;0,701;10878,66;134745;103215;30660;3220,87;0;65,93;0;0;76,6
2010;275;Tombos;69;262;1;0,00723498;3,797101449;0,014492754;0,718;6532,44;9537;7200;1799;257;0;79,81;0;0;75,5
2010;276;Três Corações;87;280;2;0,00119563;3,218390805;0,022988506;0,744;20727,86;72765;65826;19611;2441,2;0;74,4;0;0;90,46
2010;277;Três Marias;73;189;0;0,002577866;2,589041096;0;0,752;34732,38;28318;23809;7539;766,99;73,64;63,04;9,6;6,05;84,08
2010;278;Três Pontas;48;124;0;0,000891199;2,583333333;0;0,731;12310,8;53860;46280;15201;2518,39;15,87;99,6;0,63;0,63;85,93
2010;279;Tupaciguara;183;365;0;0,007565735;1,994535519;0;0,719;11686,28;24188;20500;7531;1299,27;0;71,42;0;0;84,75
2010;280;Turmalina;121;364;0;0,006701745;3,008264463;0;0,682;7681,92;18055;10091;3155;280,44;0;56,74;0;0;55,89
2010;282;Uberaba;340;1252;3;0,001148695;3,682352941;0,008823529;0,772;24661,21;295988;290258;91928;16056;10820,2;80;67,39;53,91;98,06
2010;283;Uberlândia;444;1497;3;0,000735084;3,371621622;0,006756757;0,789;31569,3;604013;587975;156002;38367;38367;78,51;100;78,51;97,34
2010;284;Unaí;40;110;0;0,000515697;2,75;0;0,736;17142,26;77565;54656;16244;2650,74;2650,74;68,63;100;68,63;70,46
2010;286;Urucuia;3;8;0;0,000220523;2,666666667;0;0,619;4470,42;13604;848;200;35,4;35,4;18,69;100;18,69;6,23
2010;287;Varginha;37;149;0;0,000300615;4,027027027;0;0,778;26268,24;123081;119061;39074;5030,31;3722,01;77,63;73,99;57,44;96,73
2010;290;Vazante;4;10;0;0,000202809;2,5;0;0,742;17251;19723;15919;5689;591,48;584,57;69,35;98,83;68,54;80,71
2010;291;Vespasiano;3;27;0;2,87007E-05;9;0;0,688;14923,36;104527;89596;21591;2499,32;2499,32;63,78;100;63,78;85,72
2010;292;Viçosa;141;471;1;0,001952368;3,340425532;0,007092199;0,775;4520,46;72220;70470;14628;3583,24;53,74;88;1,5;1,32;97,58
2010;294;Visconde do Rio Branco;353;1020;1;0,009303674;2,889518414;0,002832861;0,709;16551,21;37942;34680;11000;2312;0;100;0;0;91,4
