ano;id;prop_intern_pop;prop_dias_perm_intern;prop_obitos;pop_total;qntd_lig_ativa_esg;qntd_econ_ativa_esg;vol_esg_coletado;vol_esg_tratado;vol_esg_fat;qntd_res_ativ_esg;qntd_lig_total_esg;ind_coleta_esg;ind_trata_esg;ext_rede_esg_lig;ind_atend_esg_mun_atend_agua;ind_esg_trat_agua_cons;ind_atend_esg_mun_esg;ind_atend_esg_mun_agua;rec_oper_dir_agua;rec_oper_dir_esg;rec_oper_indireta;desp_explor;inv_esg_sanit_prest_serv;inv_realiz_esg_sanit_mun;inv_realiz_esg_estado;desp_total_serv_m3_fat;tarifa_med_prat;tar_media_agua;tar_media_esg;desp_explor_m3_fat;desp_explor_econ;margem_desp_explor
2014;120;0,016936;2,522565;0,000000;24858,000000;2658,000000;2816,000000;268,950000;0,000000;380,940000;2479,000000;2658,000000;0,491200;0,000000;10,690000;0,609400;0,000000;0,609400;0,351000;1941533,010000;623701,480000;47578,370000;2227386,470000;14603,000000;0,000000;0,000000;2,950000;2,590000;3,190000;1,640000;2,250000;301,710000;86,830000
2008;121;0,004162;7,189189;0,000000;17778,000000;4159,000000;4183,000000;862,870000;0,000000;862,870000;3975,000000;5044,000000;0,928800;0,000000;18,180000;0,739200;0,000000;0,739200;0,569700;540788,110000;240516,900000;0,800000;771498,320000;89712,120000;;;0,420000;0,420000;0,550000;0,280000;0,420000;82,660000;98,740000
2009;121;0,004521;4,604938;0,000000;17916,000000;4202,000000;4270,000000;913,000000;0,000000;913,000000;4046,000000;4358,000000;0,987000;0,000000;8,720000;0,854400;0,000000;0,854400;0,658500;684418,000000;278597,000000;0,000000;844288,000000;7319,000000;0,000000;0,000000;0,620000;0,500000;0,680000;0,310000;0,440000;100,220000;87,670000
2010;121;0,005118;4,548387;0,010753;18170,000000;4311,000000;4403,000000;933,000000;0,000000;1024,000000;4173,000000;4514,000000;0,846600;0,000000;10,370000;0,850000;0,000000;0,850000;0,664300;802079,010000;352694,210000;0,000000;1227638,150000;107754,400000;0,000000;0,000000;0,560000;0,520000;0,680000;0,340000;0,560000;141,140000;106,310000
2011;121;0,001693;4,838710;0,064516;18315,000000;4644,000000;4734,000000;1132,000000;0,000000;1132,000000;4495,000000;4897,000000;0,962600;0,000000;10,630000;0,871100;0,000000;0,871100;0,680800;958050,080000;403030,900000;267899,080000;1179894,300000;78695,300000;0,000000;0,000000;0,680000;0,570000;0,770000;0,360000;0,490000;125,630000;86,690000
2012;121;0,004226;4,358974;0,025641;18455,000000;4809,000000;4900,000000;1152,000000;0,000000;1152,000000;4672,000000;5150,000000;0,936600;0,000000;11,250000;0,900200;0,000000;0,900200;0,703500;952694,100000;270617,040000;228471,460000;1386081,300000;23630,000000;0,000000;0,000000;0,620000;0,500000;0,740000;0,230000;0,570000;135,380000;113,310000
2013;121;0,002191;3,666667;0,047619;19165,000000;5116,000000;5204,000000;1152,000000;0,000000;1152,000000;4960,000000;5544,000000;0,936600;0,000000;11,870000;0,870200;0,000000;0,870200;0,680100;1192257,450000;387832,680000;212037,460000;1325380,900000;2508,100000;0,000000;0,000000;0,730000;0,650000;0,930000;0,340000;0,540000;119,950000;83,880000
2014;121;0,000932;3,555556;0,000000;19318,000000;5222,000000;5307,000000;1163,000000;0,000000;1163,000000;4987,000000;5745,000000;1,000000;0,000000;11,680000;0,898300;0,000000;0,898300;0,702000;1292239,790000;369029,740000;201781,000000;1520490,590000;0,000000;0,000000;0,000000;0,660000;0,670000;0,980000;0,320000;0,610000;130,670000;91,530000
2008;122;0,003248;5,329936;0,010191;241720,000000;60577,000000;76216,000000;8357,470000;8357,470000;11072,060000;68174,000000;60765,000000;0,848900;1,000000;5,620000;1,000000;0,848900;1,000000;1,000000;30625791,990000;20345811,420000;1201870,690000;31139399,700000;245890,000000;;;2,140000;2,380000;2,970000;1,840000;1,460000;216,270000;61,090000
2009;122;0,003791;6,021575;0,005394;244508,000000;62266,000000;78876,000000;8635,480000;8635,480000;11404,880000;70377,000000;62445,000000;0,851000;1,000000;5,440000;1,000000;0,851000;1,000000;1,000000;32065463,430000;21322156,450000;1420831,970000;32662215,240000;538990,000000;0,000000;0,000000;2,140000;2,420000;3,020000;1,870000;1,480000;218,770000;61,180000
