Ano;Id;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;% POP_TOT atendida com ES;IDHM;PIB per Capita série revisada;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2011;13;0,001231862;2,764705882;0,022058824;110402;1;0,773;20056,12;33167;9570;117;0,8835;0,0122;0,0108;1
2012;13;0,000892029;3,616161616;0,01010101;110983;1;0,773;25458,45;34889;8894;158;0,8;0,0178;0,0142;1
2013;13;0,000652344;5,36;0,013333333;114970;1;0,773;24558,92;36360;9450;160;0,8;0,0169;0,0135;1
2014;13;0,000726443;3,904761905;0,011904762;115632;1;0,773;29606,03;36388;11402;175;0,8;0,0153;0,0123;1
2008;14;0,000623636;4;0;6414;0;0,605;159436,33;;;;;;;
2009;14;0,000306654;5;0;6522;0;0,605;104423,61;;;;;;;
2010;14;0,001139323;3,714285714;0;6144;0;0,708;159815,65;;;;;;;
2011;14;0;0;0;6209;0;0,708;180775,4;;;;;;;
2012;14;0,000637857;2,5;0;6271;0,948811992;0,708;169523,08;2100;230;50;0,6571;0,2174;0,1429;0,9488
2013;14;0,000459629;2,666666667;0;6527;0,934579439;0,708;93937,38;2187;230;50;0,6571;0,2174;0,1429;0,9346
2014;14;0,000606704;2;0;6593;0,959957531;0,708;119687,17;2499;290;290;0,8286;1;0,8286;0,96
2008;15;0,001025048;3,404255319;0,010638298;91703;1;0,683;25803,3;24127;3581,78;179,86;0,7678;0,0502;0,0386;1
2009;15;0,000677952;4,412698413;0,047619048;92927;1;0,683;21312,23;28944;3701,81;199,09;0,7729;0,0538;0,0416;1
2010;15;0,000896746;2,654761905;0;93672;0,985182338;0,772;27466,91;30111;3887,89;205,13;0,7736;0,0528;0,0408;0,9852
2011;15;0,000506334;3,5625;0;94799;0,985179169;0,772;30454,99;31096;4029,83;156,5;0,7737;0,0388;0,03;0,9852
2012;15;0,000511013;3,775510204;0;95888;0,985180627;0,772;41077,82;32542;4175,89;875,73;0,7714;0,2097;0,1618;0,9852
2013;15;0,000490069;3,857142857;0,040816327;99986;0,985177925;0,772;42591,31;34023;4182,19;3287,41;0,7709;0,786;0,6059;0,9852
2014;15;0,000514159;3,942307692;0,019230769;101136;0,985178374;0,772;47115,64;35807;4203,52;4203,52;0,7682;1;0,7682;0,9852
2008;16;0,002795229;3,089108911;0,00990099;36133;0;0,669;12802,34;;;;;;;
2009;16;0,003127143;3,245614035;0,01754386;36455;1;0,669;13223,92;13610;2387;1790;1;0,7499;0,925;1
2010;16;0,004399268;2,745341615;0;36597;0,927972238;0,749;17484,44;13836;2387;1790;1;0,7499;0,8802;0,928
2011;16;0,002737276;2,821782178;0,00990099;36898;0,927963575;0,749;23301,21;14041;1321,61;1321,61;0,6282;1;0,6282;0,928
2012;16;0,004329354;2,540372671;0;37188;0,927960632;0,749;26594,7;14343;1646;1646;0,764;1;0,764;0,928
2013;16;0,002096816;2,728395062;0;38630;0;0,749;33327,92;;;;;;;
